	FPP	POS	Dictionary Entry
556	aquula	noun	aquula, NULL, f
557	ara	noun	ara, arae, f
558	Arabs	noun	Arabs, arabis, m
559	aranea	noun	aranea, araneae, f
560	araneola	noun	araneola, araneolae, f
561	araneum	noun	araneum, aranei, n
562	araneus	noun	araneus, aranei, m
563	aratio	noun	aratio, arationis, f
564	arator	noun	arator, aratoris, m
565	aratrum	noun	aratrum, aratri, n
566	arbiter	noun	arbiter, arbitri, m
567	arbitra	noun	arbitra, arbitrae, f
568	arbitratus	noun	arbitratus, arbitratus, m
569	arbitrium	noun	arbitrium, arbitri, n
570	arbitror	noun	arbitror, NULL, n
571	arbor	noun	arbor, arboris, m
572	arbustum	noun	arbustum, arbusti, n
573	arbutum	noun	arbutum, arbuti, n
574	arbutus	noun	arbutus, arbuti, f
575	arca	noun	arca, arcae, f
576	Arcas	noun	Arcas, arcadis, m
577	arceo	noun	arceo, arctissimae, n
578	arcessitus	noun	arcessitus, arcessitus, m
579	arcesso	noun	arcesso, NULL, n
580	archimagirus	noun	archimagirus, NULL, m
581	archipirata	noun	archipirata, NULL, m
582	architectura	noun	architectura, architecturae, f
583	architectus	noun	architectus, architecti, m
584	Arctophylax	noun	Arctophylax, NULL, m
585	Arctos	noun	Arctos, arcti, f
586	arcturus	noun	arcturus, arcturi, m
587	arcula	noun	arcula, arculae, f
588	arcus	noun	arcus, arcus, m
589	ardea	noun	ardea, ardeae, f
590	ardelio	noun	ardelio, NULL, m
591	ardor	noun	ardor, ardoris, m
592	arduum	noun	arduum, ardui, n
593	area	noun	area, areae, f
594	Areopagus	noun	Areopagus, areopagi, m
595	aretalogus	noun	aretalogus, aretalogi, m
596	argentarius	noun	argentarius, argentari, m
597	argentum	noun	argentum, argenti, n
598	argestes	noun	argestes, NULL, m
599	Argi	noun	Argi, NULL, m
600	argilla	noun	argilla, argillae, f
601	argitis	noun	argitis, NULL, f
602	argumentatio	noun	argumentatio, argumentationis, f
603	argumentum	noun	argumentum, argumenti, n
604	arguo	noun	arguo, NULL, n
605	argutatio	noun	argutatio, NULL, f
606	argutiae	noun	argutiae, NULL, f
607	aries	noun	aries, arietis, f
608	arista	noun	arista, aristae, f
609	arithmetica	noun	arithmetica, NULL, n
610	arma	noun	arma, NULL, n
611	armamaxa	noun	armamaxa, NULL, f
612	armamenta	noun	armamenta, NULL, n
613	armamentarium	noun	armamentarium, NULL, n
614	armarium	noun	armarium, armari, n
615	armatura	noun	armatura, armaturae, f
616	armatus	noun	armatus, armati, m
617	armatus	noun	armatus, armati, m
618	armentarius	noun	armentarius, armentari, m
619	armentum	noun	armentum, armenti, n
620	armilla	noun	armilla, armillae, f
621	Armilustrum	noun	Armilustrum, NULL, n
622	armo	noun	armo, armatissimi, n
623	Armoricae	noun	Armoricae, NULL, f
624	armus	noun	armus, armi, m
625	aro	noun	aro, NULL, n
626	arrepo	noun	arrepo, NULL, n
627	ars	noun	ars, artis, f
628	arteria	noun	arteria, arteriae, n
629	articulus	noun	articulus, articuli, m
630	artifex	noun	artifex, artificis, m
631	artificium	noun	artificium, artifici, n
632	artolaganus	noun	artolaganus, artolagani, m
633	artopta	noun	artopta, artoptae, m
634	artus	noun	artus, artus, m
635	arula	noun	arula, arulae, f
636	arvina	noun	arvina, NULL, f
637	arvum	noun	arvum, arui, n
638	arx	noun	arx, arcis, f
639	ascendo	noun	ascendo, NULL, n
640	ascensio	noun	ascensio, ascensionis, f
641	ascensus	noun	ascensus, ascensus, m
642	ascia	noun	ascia, NULL, f
643	ascisco	noun	ascisco, NULL, n
644	ascribo	noun	ascribo, NULL, n
645	ascriptio	noun	ascriptio, NULL, f
646	ascriptor	noun	ascriptor, NULL, m
647	asella	noun	asella, NULL, f
648	asellus	noun	asellus, aselli, m
649	asilus	noun	asilus, NULL, m
650	asinus	noun	asinus, asini, m
651	asotus	noun	asotus, asoti, m
652	asparagus	noun	asparagus, asparagi, m
653	aspectus	noun	aspectus, aspectus, m
654	aspergo	noun	aspergo, NULL, n
655	aspergo	noun	aspergo, asperginis, f
656	asperitas	noun	asperitas, asperitatis, f
657	aspernatio	noun	aspernatio, NULL, f
658	aspernor	noun	aspernor, NULL, n
659	aspero	noun	aspero, NULL, n
660	aspersio	noun	aspersio, aspersionis, f
661	aspicio	noun	aspicio, NULL, n
662	aspiratio	noun	aspiratio, NULL, f
663	aspis	noun	aspis, aspis, f
664	asportatio	noun	asportatio, NULL, f
665	asporto	noun	asporto, NULL, n
666	assa	noun	assa, NULL, n
667	assa	noun	assa, NULL, n
668	asser	noun	asser, NULL, m
669	assus	noun	assus, NULL, m
670	astipulator	noun	astipulator, NULL, m
671	astringo	noun	astringo, NULL, n
672	astrologia	noun	astrologia, astrologiae, f
