language,source,lemma,atlas_id,url
grc,Atlas,ἐνθουσιάω,373821,https://atlas.perseus.tufts.edu/lemma/373821/
grc,Atlas,ἐνιαίνω,355556,https://atlas.perseus.tufts.edu/lemma/355556/
grc,Atlas,ἐνιαυτός,347266,https://atlas.perseus.tufts.edu/lemma/347266/
grc,Atlas,ἐνικλάω,351385,https://atlas.perseus.tufts.edu/lemma/351385/
grc,Atlas,ἐνίοτε,401697,https://atlas.perseus.tufts.edu/lemma/401697/
grc,Atlas,ἐνιτώομαι,371989,https://atlas.perseus.tufts.edu/lemma/371989/
grc,Atlas,ἐνμένω,360558,https://atlas.perseus.tufts.edu/lemma/360558/
grc,Atlas,ἐνμορφόω,364979,https://atlas.perseus.tufts.edu/lemma/364979/
grc,Atlas,ἐνμοχθέω,342193,https://atlas.perseus.tufts.edu/lemma/342193/
grc,Atlas,ἐνναῖος,445119,https://atlas.perseus.tufts.edu/lemma/445119/
grc,Atlas,ἔννατος,360642,https://atlas.perseus.tufts.edu/lemma/360642/
grc,Atlas,ἐννεάζω,344487,https://atlas.perseus.tufts.edu/lemma/344487/
grc,Atlas,ἐννεάπηχυς,424023,https://atlas.perseus.tufts.edu/lemma/424023/
grc,Atlas,ἐννέμω,429102,https://atlas.perseus.tufts.edu/lemma/429102/
grc,Atlas,ἐννεσία,349016,https://atlas.perseus.tufts.edu/lemma/349016/
grc,Atlas,ἔνοδιος,366706,https://atlas.perseus.tufts.edu/lemma/366706/
grc,Atlas,ἐνοεχέω,342211,https://atlas.perseus.tufts.edu/lemma/342211/
grc,Atlas,ενον,347967,https://atlas.perseus.tufts.edu/lemma/347967/
grc,Atlas,ἐνοφθαλμισμός,435966,https://atlas.perseus.tufts.edu/lemma/435966/
grc,Atlas,ἐνπιστεύω,437543,https://atlas.perseus.tufts.edu/lemma/437543/
grc,Atlas,ἐνσπειράω,401355,https://atlas.perseus.tufts.edu/lemma/401355/
grc,Atlas,ἐνστατικός,382627,https://atlas.perseus.tufts.edu/lemma/382627/
grc,Atlas,ἔνστημα,370725,https://atlas.perseus.tufts.edu/lemma/370725/
grc,Atlas,ἐνσωματόω,400368,https://atlas.perseus.tufts.edu/lemma/400368/
grc,Atlas,ἔντεα,399103,https://atlas.perseus.tufts.edu/lemma/399103/
grc,Atlas,ἐντελεχείᾳ,367586,https://atlas.perseus.tufts.edu/lemma/367586/
grc,Atlas,ἐντίθημι,383138,https://atlas.perseus.tufts.edu/lemma/383138/
grc,Atlas,ἐντύφω,395533,https://atlas.perseus.tufts.edu/lemma/395533/
grc,Atlas,ἐνυπνιαστής,358989,https://atlas.perseus.tufts.edu/lemma/358989/
grc,Atlas,ἐνωμοτίαρχος,376352,https://atlas.perseus.tufts.edu/lemma/376352/
grc,Atlas,ἕξ,463526,https://atlas.perseus.tufts.edu/lemma/463526/
grc,Atlas,έξ,339147,https://atlas.perseus.tufts.edu/lemma/339147/
grc,Atlas,ἐξαίνυμαι,350288,https://atlas.perseus.tufts.edu/lemma/350288/
grc,Atlas,ἐξαίσιος,382794,https://atlas.perseus.tufts.edu/lemma/382794/
grc,Atlas,ἔξαλλος,412050,https://atlas.perseus.tufts.edu/lemma/412050/
grc,Atlas,ἐξαναστρέφω,347667,https://atlas.perseus.tufts.edu/lemma/347667/
grc,Atlas,ἐξαπίναιος,365764,https://atlas.perseus.tufts.edu/lemma/365764/
grc,Atlas,ἐξαπολίσκω,406257,https://atlas.perseus.tufts.edu/lemma/406257/
grc,Atlas,ἐξαττάομαι,366717,https://atlas.perseus.tufts.edu/lemma/366717/
grc,Atlas,ἑξαχῇ,339037,https://atlas.perseus.tufts.edu/lemma/339037/
grc,Atlas,ἐξάω,358526,https://atlas.perseus.tufts.edu/lemma/358526/
grc,Atlas,ἐξεstar,377409,https://atlas.perseus.tufts.edu/lemma/377409/
grc,Atlas,ἐξεῖμι,347004,https://atlas.perseus.tufts.edu/lemma/347004/
grc,Atlas,ἐξελέγω,399298,https://atlas.perseus.tufts.edu/lemma/399298/
grc,Atlas,ἐξελευθερόω,348136,https://atlas.perseus.tufts.edu/lemma/348136/
grc,Atlas,ἐξενέπω,394284,https://atlas.perseus.tufts.edu/lemma/394284/
grc,Atlas,ἐξερυθρός,387662,https://atlas.perseus.tufts.edu/lemma/387662/
grc,Atlas,ἐξερωτάω,409651,https://atlas.perseus.tufts.edu/lemma/409651/
grc,Atlas,ἐξετellectus,384031,https://atlas.perseus.tufts.edu/lemma/384031/
grc,Atlas,ἐξευθύνω,512142,https://atlas.perseus.tufts.edu/lemma/512142/
grc,Atlas,ἑξηκονταετής,370869,https://atlas.perseus.tufts.edu/lemma/370869/
grc,Atlas,ἐξηρανόω,372764,https://atlas.perseus.tufts.edu/lemma/372764/
grc,Atlas,ἐξῆς,400825,https://atlas.perseus.tufts.edu/lemma/400825/
grc,Atlas,ἐξιππάω,390346,https://atlas.perseus.tufts.edu/lemma/390346/
grc,Atlas,ἔξοιδα,361404,https://atlas.perseus.tufts.edu/lemma/361404/
grc,Atlas,ἐξοιστέος,362930,https://atlas.perseus.tufts.edu/lemma/362930/
grc,Atlas,ἐξολόθρευσις,354737,https://atlas.perseus.tufts.edu/lemma/354737/
grc,Atlas,ἐξονομαίνω,378204,https://atlas.perseus.tufts.edu/lemma/378204/
grc,Atlas,ἐξόπισθε,350311,https://atlas.perseus.tufts.edu/lemma/350311/
grc,Atlas,ἐξορύσσω,434337,https://atlas.perseus.tufts.edu/lemma/434337/
grc,Atlas,ἐξουσιασία,368707,https://atlas.perseus.tufts.edu/lemma/368707/
grc,Atlas,ἐξουσιαστικός,340770,https://atlas.perseus.tufts.edu/lemma/340770/
grc,Atlas,ἐξοχέω,495697,https://atlas.perseus.tufts.edu/lemma/495697/
grc,Atlas,ἐξυπανέστη,340072,https://atlas.perseus.tufts.edu/lemma/340072/
grc,Atlas,ἐξω,340734,https://atlas.perseus.tufts.edu/lemma/340734/
grc,Atlas,ἔξω,389545,https://atlas.perseus.tufts.edu/lemma/389545/
grc,Atlas,εοζπηρθσ,341893,https://atlas.perseus.tufts.edu/lemma/341893/
grc,Atlas,ἐορτάω,356088,https://atlas.perseus.tufts.edu/lemma/356088/
grc,Atlas,ἐπάγνυμι,356712,https://atlas.perseus.tufts.edu/lemma/356712/
grc,Atlas,ἐπαιθύσσω,371704,https://atlas.perseus.tufts.edu/lemma/371704/
grc,Atlas,ἐπαίσθησις,360581,https://atlas.perseus.tufts.edu/lemma/360581/
grc,Atlas,ἐπάιστος,358097,https://atlas.perseus.tufts.edu/lemma/358097/
grc,Atlas,ἐπαλγέω,559766,https://atlas.perseus.tufts.edu/lemma/559766/
grc,Atlas,ἐπαλλαγή,409433,https://atlas.perseus.tufts.edu/lemma/409433/
grc,Atlas,ἐπαμύντωρ,357633,https://atlas.perseus.tufts.edu/lemma/357633/
grc,Atlas,ἐπαναμένω,428981,https://atlas.perseus.tufts.edu/lemma/428981/
grc,Atlas,ἐπάνειμι,394664,https://atlas.perseus.tufts.edu/lemma/394664/
grc,Atlas,ἐπάνειμι,401343,https://atlas.perseus.tufts.edu/lemma/401343/
grc,Atlas,ἐπαπορέω,363069,https://atlas.perseus.tufts.edu/lemma/363069/
grc,Atlas,ἐπαπορητέον,348498,https://atlas.perseus.tufts.edu/lemma/348498/
grc,Atlas,ἐπαπορητικός,347449,https://atlas.perseus.tufts.edu/lemma/347449/
grc,Atlas,ἐπαρωγός,377604,https://atlas.perseus.tufts.edu/lemma/377604/
